epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,15430.2,2.30411,1.32894,0.81152,0.41413,0.46714,0.36203,0.11396,2.66432,1.67558,0.79233,0.00122141,0.00122141,0.00122141
56,15702.5,2.33184,1.37576,0.81811,0.46611,0.5208,0.4117,0.13595,2.61343,1.58723,0.79262,0.00121316,0.00121316,0.00121316
57,15970.1,2.22303,1.25951,0.81545,0.48754,0.45068,0.37721,0.13362,2.66875,1.65224,0.79919,0.00120491,0.00120491,0.00120491
58,16235.2,2.24092,1.31336,0.80704,0.39298,0.49654,0.38065,0.12462,2.57894,1.71676,0.79827,0.00119666,0.00119666,0.00119666
59,16506.6,2.17496,1.31907,0.81311,0.38775,0.55231,0.36085,0.12894,2.56569,1.57675,0.79804,0.0011884,0.0011884,0.0011884
60,16770.5,2.20409,1.27891,0.80358,0.36227,0.48008,0.33893,0.12151,2.64509,1.60624,0.79527,0.00118015,0.00118015,0.00118015
61,17040.7,2.29616,1.25414,0.82189,0.3424,0.4825,0.34455,0.13015,2.55144,1.6594,0.79686,0.0011719,0.0011719,0.0011719
62,17316.7,2.11148,1.26241,0.80745,0.34956,0.48954,0.35068,0.11246,2.65716,1.72279,0.79028,0.00116365,0.00116365,0.00116365
63,17594,2.24426,1.29527,0.79633,0.39539,0.4934,0.37774,0.1363,2.50911,1.59652,0.7844,0.0011554,0.0011554,0.0011554
64,17871.9,2.16357,1.23916,0.79584,0.45332,0.50795,0.4121,0.15348,2.51822,1.58142,0.78067,0.00114715,0.00114715,0.00114715
65,18148.8,2.21173,1.24372,0.81647,0.38527,0.46369,0.37384,0.13816,2.47506,1.60898,0.77433,0.00113889,0.00113889,0.00113889
66,18434.9,2.16754,1.22032,0.80219,0.44796,0.51761,0.40338,0.14493,2.49337,1.64354,0.77737,0.00113064,0.00113064,0.00113064
67,18729.1,2.16166,1.24249,0.79769,0.39909,0.48713,0.37573,0.1396,2.55608,1.67222,0.78579,0.00112239,0.00112239,0.00112239
68,19005.3,2.15279,1.25202,0.80736,0.43073,0.40116,0.36463,0.14884,2.49028,1.65971,0.78622,0.00111414,0.00111414,0.00111414
69,19283.1,2.17928,1.20347,0.79116,0.44256,0.46369,0.38157,0.15147,2.50104,1.56907,0.79316,0.00110589,0.00110589,0.00110589
70,19557,2.18847,1.22818,0.83129,0.3907,0.47854,0.40235,0.14848,2.57706,1.59048,0.78905,0.00109764,0.00109764,0.00109764
71,19837.7,2.15708,1.19825,0.81983,0.41721,0.4386,0.39422,0.13578,2.59187,1.65317,0.78267,0.00108938,0.00108938,0.00108938
72,20115.5,2.20653,1.16661,0.80217,0.46081,0.50746,0.40135,0.15015,2.54437,1.62379,0.78452,0.00108113,0.00108113,0.00108113
73,20393.2,2.14662,1.20099,0.805,0.41826,0.52938,0.38995,0.14022,2.50695,1.57187,0.78991,0.00107288,0.00107288,0.00107288
74,20674.6,2.07977,1.13319,0.80985,0.43312,0.40704,0.37486,0.13645,2.48945,1.59666,0.78434,0.00106463,0.00106463,0.00106463
75,20948.3,2.10234,1.11848,0.80091,0.37532,0.54192,0.38148,0.14187,2.51176,1.6388,0.7857,0.00105638,0.00105638,0.00105638
76,21212.7,2.15075,1.18725,0.79345,0.40682,0.55601,0.37123,0.13718,2.60994,1.75064,0.80998,0.00104813,0.00104813,0.00104813
77,21486.7,2.16925,1.17022,0.81056,0.35898,0.50422,0.34461,0.13255,2.59839,1.73929,0.79872,0.00103987,0.00103987,0.00103987
78,21775.4,2.15594,1.22073,0.78712,0.35916,0.52465,0.31562,0.1197,2.52914,1.71073,0.78563,0.00103162,0.00103162,0.00103162
79,22052.2,2.13255,1.15598,0.79563,0.42026,0.514,0.3463,0.12724,2.43129,1.67267,0.78246,0.00102337,0.00102337,0.00102337
80,22368.5,2.14499,1.1802,0.80162,0.48362,0.40889,0.35504,0.13797,2.46782,1.73656,0.79152,0.00101512,0.00101512,0.00101512
81,22689.1,2.12943,1.17145,0.79655,0.40035,0.55233,0.39865,0.16436,2.42667,1.54518,0.77653,0.00100687,0.00100687,0.00100687
82,22987.8,2.11356,1.15657,0.80866,0.39453,0.50705,0.37964,0.15211,2.46377,1.66953,0.77936,0.000998616,0.000998616,0.000998616
83,23310.6,2.14669,1.1612,0.7999,0.41018,0.47854,0.34173,0.13072,2.54559,1.73284,0.78706,0.000990365,0.000990365,0.000990365
84,23632.8,2.02156,1.13126,0.80337,0.39751,0.54104,0.35902,0.12831,2.46682,1.70678,0.78446,0.000982113,0.000982113,0.000982113
85,23951,2.05473,1.07898,0.80837,0.41329,0.41439,0.32759,0.11656,2.49929,1.64851,0.78832,0.000973861,0.000973861,0.000973861
86,24305.5,2.19368,1.19688,0.81644,0.39228,0.48008,0.3272,0.12465,2.4816,1.72203,0.7915,0.00096561,0.00096561,0.00096561
87,24571.5,2.07089,1.10509,0.7771,0.37734,0.5013,0.33389,0.13566,2.55187,1.73164,0.7892,0.000957358,0.000957358,0.000957358
88,24849.2,2.13742,1.13796,0.80844,0.40476,0.53565,0.36369,0.1395,2.46155,1.74577,0.78554,0.000949106,0.000949106,0.000949106
89,25129.6,1.97065,1.05346,0.79785,0.35695,0.48327,0.32306,0.137,2.45948,1.69337,0.78824,0.000940855,0.000940855,0.000940855
90,25410,2.00242,1.08515,0.80335,0.4011,0.55282,0.35575,0.13704,2.41365,1.65734,0.77362,0.000932603,0.000932603,0.000932603
91,25692.7,2.06546,1.05099,0.78916,0.42182,0.41758,0.35178,0.13054,2.56353,1.6928,0.79146,0.000924352,0.000924352,0.000924352
92,25975.4,2.05277,1.03743,0.79866,0.40006,0.51649,0.36608,0.13782,2.43772,1.65912,0.78625,0.0009161,0.0009161,0.0009161
93,26248.9,2.07738,1.09142,0.8003,0.41057,0.51056,0.34337,0.12956,2.50993,1.77864,0.79195,0.000907848,0.000907848,0.000907848
94,26514,2.04911,1.05293,0.77945,0.42663,0.46754,0.36846,0.12979,2.49409,1.70888,0.78821,0.000899597,0.000899597,0.000899597
95,26784.6,1.98095,1.0437,0.79959,0.37706,0.52703,0.36947,0.1371,2.53004,1.73787,0.78473,0.000891345,0.000891345,0.000891345
96,27051.2,2.0103,1.04645,0.80018,0.35861,0.43563,0.32114,0.12789,2.52483,1.78484,0.79261,0.000883093,0.000883093,0.000883093
97,27317.8,2.10397,1.0557,0.80388,0.42081,0.53642,0.4009,0.15206,2.38052,1.60665,0.76939,0.000874842,0.000874842,0.000874842
98,27585.2,2.02734,1.01539,0.78486,0.36733,0.49059,0.35655,0.13893,2.42315,1.72624,0.77781,0.00086659,0.00086659,0.00086659
99,27867.3,2.04127,1.06844,0.8034,0.34258,0.49428,0.34456,0.129,2.46612,1.88627,0.78332,0.000858338,0.000858338,0.000858338
100,28140.8,2.00139,1.04233,0.80262,0.38919,0.52003,0.38322,0.13602,2.50258,1.66776,0.78661,0.000850087,0.000850087,0.000850087
101,28417,2.00461,1.02975,0.78227,0.41288,0.56854,0.40189,0.14171,2.50211,1.66549,0.78916,0.000841835,0.000841835,0.000841835
102,28692.3,1.99496,1.01209,0.79913,0.40116,0.51037,0.36706,0.13584,2.47403,1.70277,0.78706,0.000833583,0.000833583,0.000833583
103,28962.2,2.02757,0.9993,0.78569,0.38663,0.49813,0.38603,0.14897,2.37916,1.71258,0.77402,0.000825332,0.000825332,0.000825332
104,29244.1,1.92549,0.98262,0.77761,0.3917,0.50552,0.3716,0.13656,2.52679,1.78924,0.78989,0.00081708,0.00081708,0.00081708
105,29514.1,2.07311,1.0149,0.80698,0.40292,0.49263,0.34087,0.11923,2.45102,1.75176,0.79102,0.000808828,0.000808828,0.000808828
106,29784.3,1.97944,0.95656,0.79447,0.35561,0.48475,0.36632,0.13203,2.5596,1.7508,0.78933,0.000800577,0.000800577,0.000800577
107,30060.7,1.97746,0.99812,0.78144,0.43665,0.48327,0.40054,0.13686,2.54637,1.68,0.78548,0.000792325,0.000792325,0.000792325
108,30328.1,1.93978,1.00695,0.79941,0.44001,0.51627,0.40185,0.14427,2.62253,1.76179,0.79102,0.000784073,0.000784073,0.000784073
109,30613.3,1.96659,0.99415,0.78919,0.43794,0.43948,0.38028,0.13401,2.58149,1.8559,0.79416,0.000775822,0.000775822,0.000775822
110,30897.8,1.95107,0.92497,0.79001,0.37169,0.45753,0.34145,0.12511,2.61795,1.86836,0.79117,0.00076757,0.00076757,0.00076757
111,31171.1,2.03973,1.0108,0.78772,0.36596,0.48173,0.35856,0.12262,2.54322,1.83877,0.78219,0.000759318,0.000759318,0.000759318
112,31442.1,1.93449,0.91011,0.77537,0.48559,0.41805,0.37422,0.13558,2.54469,1.72036,0.78193,0.000751067,0.000751067,0.000751067
113,31721.2,1.95359,0.94662,0.78533,0.39335,0.50913,0.39946,0.15115,2.4783,1.7218,0.78128,0.000742815,0.000742815,0.000742815
114,31992.1,1.90656,0.9557,0.78533,0.44311,0.50748,0.39105,0.14743,2.40781,1.68028,0.77815,0.000734564,0.000734564,0.000734564
115,32272,1.94158,0.98708,0.79317,0.4327,0.51375,0.40242,0.15515,2.39022,1.62274,0.77487,0.000726312,0.000726312,0.000726312
116,32552.5,1.97209,0.97818,0.78838,0.37747,0.51849,0.36806,0.1296,2.52691,1.68872,0.78232,0.00071806,0.00071806,0.00071806
117,32836.8,2.01815,0.94835,0.7981,0.38907,0.49428,0.35873,0.13399,2.46747,1.87869,0.78408,0.000709809,0.000709809,0.000709809
118,33114.2,1.88799,0.91746,0.77934,0.42399,0.42386,0.33373,0.12075,2.45367,1.8285,0.78794,0.000701557,0.000701557,0.000701557
119,33388.1,1.90823,0.91857,0.76834,0.39696,0.47469,0.34024,0.12222,2.46729,1.81696,0.78823,0.000693305,0.000693305,0.000693305
120,33666,1.86769,0.95023,0.76954,0.39256,0.48801,0.33599,0.12437,2.49191,1.83241,0.79533,0.000685054,0.000685054,0.000685054
121,33937.8,1.98197,0.97878,0.77785,0.38019,0.52311,0.35773,0.12874,2.50899,1.82237,0.78628,0.000676802,0.000676802,0.000676802
122,34209.1,1.98192,0.98547,0.79215,0.38754,0.4803,0.36008,0.13863,2.43138,1.72767,0.78024,0.00066855,0.00066855,0.00066855
123,34493.7,1.99768,0.92307,0.76999,0.37156,0.4825,0.36818,0.14801,2.45622,1.67983,0.78295,0.000660299,0.000660299,0.000660299
124,34775.3,1.85017,0.89131,0.79138,0.4072,0.49643,0.42332,0.1683,2.43079,1.66656,0.78701,0.000652047,0.000652047,0.000652047
125,35053,1.92731,0.88526,0.77137,0.39979,0.50171,0.38457,0.14668,2.52158,1.77067,0.7878,0.000643795,0.000643795,0.000643795
126,35338.3,1.93301,0.90572,0.77063,0.41505,0.48955,0.3771,0.14563,2.39642,1.72256,0.77896,0.000635544,0.000635544,0.000635544
127,35615.7,1.90434,0.89645,0.77473,0.42558,0.49273,0.37357,0.13982,2.41563,1.70519,0.78392,0.000627292,0.000627292,0.000627292
128,35896.1,1.98156,0.92438,0.7666,0.41799,0.53466,0.39423,0.14747,2.44479,1.81222,0.7868,0.00061904,0.00061904,0.00061904
129,36177.7,1.87616,0.8965,0.78457,0.42973,0.42936,0.34161,0.13459,2.4876,1.84516,0.79176,0.000610789,0.000610789,0.000610789
130,36464.9,1.94422,0.88148,0.78616,0.43831,0.46089,0.36427,0.14046,2.44227,1.75947,0.78808,0.000602537,0.000602537,0.000602537
131,36742.2,1.94029,0.91957,0.77229,0.48218,0.43809,0.37145,0.14733,2.41195,1.64292,0.78077,0.000594286,0.000594286,0.000594286
132,37026.3,1.91271,0.91424,0.78753,0.40819,0.46222,0.35233,0.1404,2.45952,1.75121,0.78269,0.000586034,0.000586034,0.000586034
133,37303.2,1.77234,0.852,0.77162,0.45205,0.4182,0.34584,0.12657,2.52883,1.84296,0.79257,0.000577782,0.000577782,0.000577782
134,37579.6,1.89206,0.89142,0.79161,0.44007,0.44376,0.35298,0.13239,2.46263,1.78444,0.7896,0.000569531,0.000569531,0.000569531
135,37862.1,1.84383,0.87069,0.77343,0.39172,0.477,0.3721,0.14613,2.45896,1.77862,0.78769,0.000561279,0.000561279,0.000561279
136,38145.1,1.86679,0.86218,0.78654,0.46296,0.43794,0.38668,0.15249,2.49699,1.70134,0.78482,0.000553027,0.000553027,0.000553027
137,38417.7,1.85332,0.84084,0.791,0.40827,0.45174,0.36341,0.1473,2.4842,1.75868,0.78117,0.000544776,0.000544776,0.000544776
138,38696.5,1.87174,0.86181,0.76581,0.45494,0.49186,0.38534,0.15223,2.45071,1.69726,0.78052,0.000536524,0.000536524,0.000536524
139,38982.1,1.8141,0.86586,0.7649,0.45045,0.48482,0.38771,0.1523,2.479,1.60869,0.78036,0.000528272,0.000528272,0.000528272
140,39252.3,1.87807,0.88207,0.77212,0.40936,0.47623,0.37815,0.14799,2.42264,1.69892,0.78044,0.000520021,0.000520021,0.000520021
141,39532.7,1.80853,0.8269,0.76983,0.46623,0.48457,0.38788,0.15178,2.41164,1.65834,0.77199,0.000511769,0.000511769,0.000511769
142,39819.7,1.8873,0.85298,0.78239,0.39074,0.49032,0.3499,0.14271,2.41139,1.72619,0.77436,0.000503517,0.000503517,0.000503517
143,40104.5,1.79992,0.81422,0.76809,0.46071,0.4119,0.34635,0.13639,2.51745,1.84485,0.78644,0.000495266,0.000495266,0.000495266
144,40384.2,1.84778,0.82544,0.77864,0.47245,0.41681,0.36451,0.13865,2.4787,1.77348,0.774,0.000487014,0.000487014,0.000487014
145,40667.3,1.87938,0.84336,0.76064,0.45626,0.44795,0.36812,0.14734,2.43246,1.7271,0.77765,0.000478762,0.000478762,0.000478762
146,40948.7,1.83778,0.8251,0.78271,0.40732,0.52461,0.38626,0.15881,2.43563,1.70721,0.78222,0.000470511,0.000470511,0.000470511
147,41229.1,1.84839,0.82889,0.76976,0.42628,0.4927,0.37909,0.15254,2.41933,1.6685,0.77984,0.000462259,0.000462259,0.000462259
148,41506.9,1.79949,0.82632,0.76515,0.39941,0.51926,0.39082,0.1519,2.45848,1.6822,0.78496,0.000454007,0.000454007,0.000454007
149,41796,1.82435,0.83763,0.76843,0.44992,0.45279,0.3552,0.13817,2.41588,1.66308,0.78,0.000445756,0.000445756,0.000445756
150,42079,1.80737,0.8464,0.77703,0.41741,0.47546,0.36698,0.14579,2.47115,1.65115,0.7778,0.000437504,0.000437504,0.000437504
151,42353.4,1.6729,0.74158,0.77682,0.45987,0.44344,0.36778,0.14976,2.42122,1.68066,0.77703,0.000429253,0.000429253,0.000429253
152,42637.1,1.81064,0.83608,0.78469,0.41037,0.50594,0.37949,0.1479,2.47647,1.69603,0.77939,0.000421001,0.000421001,0.000421001
153,42911.9,1.76453,0.82144,0.7974,0.44632,0.49505,0.39887,0.15098,2.46323,1.6901,0.78005,0.000412749,0.000412749,0.000412749
154,43189.6,1.74158,0.818,0.78327,0.43593,0.52491,0.38618,0.15057,2.44863,1.69032,0.78258,0.000404498,0.000404498,0.000404498
155,43474.1,1.76148,0.79657,0.76768,0.44144,0.42486,0.34858,0.14039,2.45618,1.78315,0.77918,0.000396246,0.000396246,0.000396246
156,43757.1,1.77325,0.80826,0.77125,0.40174,0.42386,0.3428,0.14109,2.44516,1.80677,0.78311,0.000387994,0.000387994,0.000387994
157,44025.1,1.7297,0.7868,0.77868,0.37784,0.44162,0.3467,0.14609,2.45911,1.84677,0.78549,0.000379743,0.000379743,0.000379743
158,44308.9,1.76209,0.79368,0.77788,0.42359,0.48127,0.35598,0.13754,2.45319,1.86551,0.78335,0.000371491,0.000371491,0.000371491
159,44585.5,1.75893,0.78586,0.75713,0.37168,0.48246,0.34065,0.1319,2.46579,1.94422,0.78453,0.000363239,0.000363239,0.000363239
160,44858.8,1.78029,0.81453,0.77065,0.36842,0.48831,0.3405,0.1414,2.43063,2.00606,0.77566,0.000354988,0.000354988,0.000354988
161,45139.3,1.78053,0.80582,0.76008,0.38254,0.5044,0.34375,0.13502,2.41512,2.03969,0.77248,0.000346736,0.000346736,0.000346736
162,45412.8,1.71278,0.77503,0.76112,0.46071,0.42855,0.35358,0.14079,2.49161,1.90265,0.78817,0.000338484,0.000338484,0.000338484
163,45693.9,1.7793,0.77699,0.77479,0.44227,0.4276,0.3552,0.14542,2.47924,1.85722,0.78944,0.000330233,0.000330233,0.000330233
164,45968.5,1.65343,0.75929,0.77709,0.46268,0.40977,0.35152,0.14547,2.44098,1.87004,0.77985,0.000321981,0.000321981,0.000321981
165,46239,1.77232,0.7766,0.75708,0.45797,0.4583,0.38718,0.15498,2.46537,1.90576,0.77871,0.000313729,0.000313729,0.000313729
166,46499.2,1.73435,0.79857,0.76834,0.43943,0.44575,0.37994,0.145,2.47034,1.95337,0.78338,0.000305478,0.000305478,0.000305478
167,46776.3,1.69872,0.74898,0.76758,0.40468,0.45907,0.36692,0.13817,2.54224,2.01615,0.791,0.000297226,0.000297226,0.000297226
168,47046.2,1.68896,0.74694,0.78169,0.44706,0.49186,0.35356,0.13657,2.50761,1.9353,0.78927,0.000288974,0.000288974,0.000288974
169,47316.9,1.69433,0.73788,0.75965,0.40535,0.47143,0.35244,0.13794,2.50921,1.95607,0.78748,0.000280723,0.000280723,0.000280723
170,47590.4,1.69764,0.76669,0.77578,0.40259,0.46138,0.35365,0.13832,2.49466,1.93697,0.79346,0.000272471,0.000272471,0.000272471
171,47861.8,1.72481,0.76398,0.75709,0.4312,0.47802,0.36307,0.14063,2.49584,1.84443,0.78663,0.00026422,0.00026422,0.00026422
172,48145.4,1.75268,0.7685,0.76697,0.42394,0.44575,0.33065,0.12898,2.49006,1.8937,0.78485,0.000255968,0.000255968,0.000255968
173,48421.4,1.64252,0.73201,0.75317,0.46448,0.40724,0.32989,0.12846,2.50292,2.00998,0.78144,0.000247716,0.000247716,0.000247716
174,48695,1.6453,0.7069,0.76735,0.37956,0.49582,0.35747,0.13982,2.43749,2.03618,0.78015,0.000239465,0.000239465,0.000239465
